BOOK_ID,PUBL_DATE,SUBSET,P(INIT)_CTRL
2080,1901,CTRL,0.5121009261397049
2121,1901,CTRL,0.40876730927186944
2152,1901,CTRL,0.293418420780432
2180,1902,CTRL,0.6018358935987937
2203,1902,CTRL,0.45250484334562535
2234,1902,CTRL,0.3839530468735688
2279,1902,CTRL,0.6549958468729054
2344,1903,CTRL,0.28135768938462014
2360,1903,CTRL,0.0055527649689690595
2421,1903,CTRL,0.30074635381274484
2424,1903,CTRL,0.16574821010895124
2489,1904,CTRL,0.6665150872122273
2490,1904,CTRL,0.445994610353434
2516,1904,CTRL,0.5999998687342128
2522,1904,CTRL,0.22484599936360583
2617,1905,CTRL,0.6860932822552848
2653,1905,CTRL,0.10271720720269417
2690,1905,CTRL,0.27975587032240734
2748,1906,CTRL,0.3415003697705359
2753,1906,CTRL,0.8190181168581487
2762,1906,CTRL,0.39108162155390724
2804,1906,CTRL,0.4372785004452455
2914,1907,CTRL,0.38265753291362203
2933,1907,CTRL,0.5753973246477622
2955,1907,CTRL,0.8620567906160468
2956,1907,CTRL,0.6597512855215402
2963,1908,CTRL,0.12103587737410759
3028,1908,CTRL,0.5311979850823569
3055,1908,CTRL,0.4112462710574891
3085,1909,CTRL,0.5084465353986631
3142,1909,CTRL,0.1766203008948949
3156,1909,CTRL,0.4153685685022448
3173,1909,CTRL,0.6529797664025224
3212,1910,CTRL,0.7906890039799798
3255,1910,CTRL,0.6526212107103826
3287,1910,CTRL,0.49106993339716587
3299,1910,CTRL,0.25944638495810457
3331,1911,CTRL,0.22676911192153004
3346,1911,CTRL,0.5219070316660327
3418,1911,CTRL,0.3568177456848376
3427,1911,CTRL,0.43995634286905916
3475,1912,CTRL,0.4261398986227576
3486,1912,CTRL,0.9829581562360327
3519,1912,CTRL,0.40037693765667814
3562,1912,CTRL,0.43114396720367953
3577,1913,CTRL,0.6828239677790492
3586,1913,CTRL,0.3904742011253969
3611,1913,CTRL,0.4554642081487982
3658,1913,CTRL,0.9496919281240748
3698,1914,CTRL,0.570472208326164
3709,1914,CTRL,0.024093989680107564
3748,1914,CTRL,0.6893062053649373
3772,1914,CTRL,0.17652992896667707
3812,1915,CTRL,0.6493849129686323
3828,1915,CTRL,0.43771071193265554
3844,1915,CTRL,0.375384592138278
3865,1915,CTRL,0.29584848168739963
3913,1916,CTRL,0.32620641458656885
3935,1916,CTRL,0.20091381240736228
3993,1916,CTRL,0.4954955241906355
4007,1916,CTRL,0.6751343289070508
4065,1917,CTRL,0.4725185340199023
4106,1917,CTRL,0.31909959212547
4130,1917,CTRL,0.6797972545428224
4158,1918,CTRL,0.7016536838792329
4183,1918,CTRL,0.7517020084225804
4196,1918,CTRL,0.6752187016388906
4304,1919,CTRL,0.5088693917055453
4310,1919,CTRL,0.009211278954818103
4313,1919,CTRL,0.04948975096779418
