FEAT_NAME,WEIGHT
000,-0.014302062117140718
aaron,0.001933213608498198
abandoned,0.010842523239015916
ability,-0.0016482344526638235
able,0.011864178730318236
aboard,0.00960435127124715
abruptly,-0.006993247193911616
absence,0.012630342509432414
absolutely,-0.006780134056725898
absurd,-0.0019927394668806525
accept,0.004351592048711386
accepted,-0.011717615003077175
access,0.016630651925025813
accident,0.003205410641757475
accompanied,-0.01983086335601632
according,-0.028912550910380103
account,0.013320382909052427
accustomed,-0.012339860234266095
act,0.005834454412945801
acted,0.0029252163565402782
acting,-0.0002940549335389857
action,0.01554132751400775
actual,0.013214190893626137
actually,-0.004895968792685249
adam,0.003036389760047876
add,-0.00979000168456417
added,0.03280147442038611
address,0.008160805639543573
addressed,0.007355462890767204
admiration,0.0008845269689975069
admit,-0.011283065273307465
admitted,0.0014099887141559304
advance,0.0017501320546646716
advanced,0.00026863110521726385
advantage,0.0027587051632798295
adventure,-0.00111690281425335
advice,-0.0059643565008985966
affair,0.008928944739055394
affairs,0.01238581407127108
affection,0.008271240497111719
afford,0.009958830301610136
afraid,-0.017110518260228014
afternoon,0.0015778561049743756
afterward,-0.004340770841241231
age,-0.016560458138260736
aged,-0.005893762785143034
agent,-0.0010571352999791445
ago,0.008667989990976234
agony,0.01120899120999781
agree,0.003414200355375982
agreed,-0.008589229856245698
agreement,0.022610195934824648
ah,-0.0159708630374798
ahead,0.012669459663187091
ai,-0.010777721894053318
aid,-0.004455210154228341
ain,-0.012087331865972866
air,0.016937783310921353
alarm,0.004328058332967369
alert,0.0011876980510958598
alex,0.00647471046666585
alexander,-0.0035573803985604153
alice,0.0011155406839327773
alive,0.03358401267479296
alley,0.0015901302597339556
allow,-0.005849151443237514
allowed,-0.01463917623177114
aloud,0.012515511204825854
altogether,0.00022672248584764394
america,0.0034728903085648032
american,-0.0011106093943821318
americans,0.0013993099569267215
amused,-0.0018438037424776481
amusement,0.002465821525971358
amy,-0.009609467252782906
ancient,-0.0033841169304013683
andrew,-0.005835932709873644
angel,-0.0038850608527067096
anger,-0.0007771633138486246
angle,0.002272359561458132
angrily,0.010712043309188918
angry,0.0005045867271580288
animal,0.0056699922081627
animals,-0.014214363765149859
ann,-9.881862609186534e-05
anna,0.0006824812229887802
anne,0.00149154844375255
annie,0.005373040330205145
announced,-0.005209137799904777
annoyed,-0.009240291645296033
answer,0.018723738903580568
answered,-0.009721836643500823
answering,0.006392729068839895
answers,0.0008125223170759589
anthony,-0.00033858481855100975
anxiety,-0.003915098826473334
anxious,-0.00348677152945511
anybody,0.013680796826581555
anymore,0.00933153994277047
apart,0.004174128098137263
apartment,0.01039188617163011
apparent,0.001242090184086985
apparently,0.0047594656786595375
appeal,0.00418595618071132
appear,-0.009471345207224388
appearance,0.006245835785012414
appeared,-0.001443024236924852
apple,0.003785466558765074
appreciate,-0.011795844400953683
approach,0.002662248808416196
approached,-0.009916984076175589
approaching,0.0058649081429781
area,0.003039063952179011
aren,0.0087757469350805
argument,0.001526386546213903
arm,0.03442119122447582
armed,0.007527914752111895
arms,0.03265971377703312
army,-0.004670858242654755
arose,-0.01369357490603329
arranged,-0.003395099710519298
arrest,0.02401977441037595
arrival,-0.020948311659027753
arrive,0.01555209827985968
arrived,-0.01562616036084946
art,-0.005277129168138769
arthur,0.0019286839269626753
artist,0.004186579312888553
ashamed,0.016270079544087455
aside,-0.006691356096252158
ask,0.0031042084872257413
asked,0.05871660159310912
asking,0.006098402097904059
asleep,0.03549637489309189
ass,0.0024039656825468954
assistant,-0.016871833926553916
assume,-0.016556663449727976
assumed,-0.009478578417890585
assured,-0.015505738295132665
astonished,-0.012819609118786747
astonishment,0.005723323031364961
ate,-0.01257726837374284
atmosphere,-0.0031963032775114936
attached,0.009114410173521928
attack,0.014323837325796401
attempt,0.0033819436524162726
attend,0.01396682833296548
attention,-0.002736801249787161
attitude,0.006005750117375757
attorney,0.008460475429061597
attractive,-0.006986582390321223
audience,-0.001964374852814085
august,-0.0038682943823350265
augustus,-0.004310275850099092
aunt,0.001504335037352872
author,-0.0069826419108851194
authority,-0.003301029816967147
available,0.020486672272124373
avenue,0.004202730652756312
avoid,0.011734591158251604
awake,0.004753047698312432
aware,-0.02535359615508032
away,0.053507406508655805
awful,0.02509979975423122
awkward,-0.0024541298500934503
baby,0.005191107448824536
backed,-0.004141077668586806
background,0.0052107969540798205
backward,0.01682528076398412
bad,-0.011360215845069523
badly,0.016892584682466523
bag,0.0052859123290210485
balance,0.01704616333582008
ball,0.013499526196888267
band,-0.002459675018676649
bank,-0.01092133162761018
banks,-0.00040980518693688964
bar,0.003247498229106163
barbara,-0.0004079718406601754
bare,0.00022114958781820822
barely,0.000676255942605705
barn,0.004706103052216946
barney,0.011362016169515337
barrel,0.001366196930504249
bars,0.0002498200268241009
base,0.009968494393559752
basket,0.018949759884663273
bastard,0.009467874052922973
bath,0.020038626660234107
bathroom,0.009154313690223926
battle,0.006776445734164499
bay,0.008638826056011302
beach,0.019118499642041747
bear,0.011941812593326199
beard,-0.0041720290440459525
bearing,0.007506692351829549
beast,-0.002689773113658553
beat,0.004473550802914
beaten,0.012182052675804723
beating,0.00547515654496293
beautiful,-0.004545341996329988
beauty,-0.01475896013085613
bed,0.021191860872656756
bedroom,0.0008916804558948717
beer,0.009310697016095758
beg,-0.029058911307961927
began,0.002280183591645174
begged,-0.007844264485872129
begin,0.0011902735609927088
beginning,-0.0037839788139430127
begun,0.0072025649037163785
belief,0.00096936962860246
believe,-0.001970563502327292
believed,0.004864260694904729
bell,-0.0054420121521287146
