,BOOK_ID,FILENAME,LIBRARIES,TITLE,AUTH_LAST,AUTH_FIRST,AUTH_ID,WRITTEN_AS,PUBL_CITY,PUBLISHER,PUBL_DATE,SOURCE,NATIONALITY,GENRE,CLEAN?,SUBSET
437,2477,00002477.txt,206,Doctor Luke of the Labrador,Duncan,Norman,A_01014,,Chicago/New York,F.H. Revell Co.,1904,g,American,,,SENT
439,2489,00002489.txt,131,My friend Prospero,Harland,Henry,A_01547,,New York,"""McClure, Phillips & Co.""",1904,g,American,,,CTRL
440,2490,00002490.txt,61,Heart of the West,Henry,O.,A_01630,,Garden City/N.Y.,George H. Doran Co.,1904,g,American,,,CTRL
441,2494,00002494.txt,150,Samantha at the St. Louis Exposition,Holley,Marietta,A_01680,,New York,G.W. Dillingham Co.,1904,g,American,,,NOVL
442,2495,00002495.txt,154,The law of the land,Hough,Emerson,A_01701,,Indianapolis,Bobbs-Merrill Co.,1904,g,American,,,PARG
444,2505,00002505.txt,48,Nancy Stair,Lane,Elinor Macartney,A_01982,,New York,A.L. Burt,1904,g,American,ROM,,PARG
446,2516,00002516.txt,70,Tillie,Martin,Helen Reimensnyder,A_02256,,New York,Century Co.,1904,g,American,,,CTRL
447,2519,00002519.txt,125,The day of the dog,McCutcheon,George Barr,A_02321,,New York,"""Dodd, Mead""",1904,g,American,,,PARG
448,2521,00002521.txt,64,In the bishop's carriage,Michelson,Miriam,A_02393,,New York,Grosset & Dunlap,1904,g,American,,,NOVL
449,2522,00002522.txt,40,The Madigans,Michelson,Miriam,A_02393,,New York,Century Co.,1904,g,American,,,CTRL
451,2535,00002535.txt,51,My lady of the North,Parrish,Randall,A_02656,,Chicago,A.C. McClurg & Co.,1904,g,American,,,NOVL
452,2553,00002553.txt,35,The bright face of danger,Stephens,Robert Neilson,A_03253,,Boston,L.C. Page & Co.,1904,g,American,,,PARG
456,2570,00002570.txt,109,Her infinite variety,Whitlock,Brand,A_03609,,Indianapolis,Bobbs-Merrill Co.,1904,g,American,,,SENT
457,2579,00002579.txt,50,John Henry Smith,Adams,Frederick Upham,A_00016,,New York,"""Doubleday, Page & Co.""",1905,g,American,,,SENT
460,2597,00002597.txt,103,The storm centre,Murfree,Mary Noailles,A_02514,1.0,New York/London,Macmillan Co.,1905,g,American,,,NOVL
462,2612,00002612.txt,243,The tyranny of the dark,Garland,Hamlin,A_01306,,New York/London,Harper & Bros.,1905,g,American,,c,NOVL
463,2615,00002615.txt,85,The millionaire baby,Green,Anna Katharine,A_01444,,Indianapolis,Bobbs-Merrill Co.,1905,g,American,DET,c,PARG
464,2617,00002617.txt,58,The house in the mist,Green,Anna Katharine,A_01444,,Indianapolis,Bobbs-Merrill Co.,1905,g,American,DET,c,CTRL
470,2646,00002646.txt,70,Hearts and masks,MacGrath,Harold,A_02179,,Indianapolis,Bobbs-Merrill Co.,1905,g,American,,,NOVL
472,2652,00002652.txt,130,Nedra,McCutcheon,George Barr,A_02321,,New York,"""Dodd, Mead & Co.""",1905,g,American,,,PARG
473,2653,00002653.txt,124,The purple parasol,McCutcheon,George Barr,A_02321,,New York,"""Dodd, Mead & Co.""",1905,g,American,,,CTRL
478,2676,00002676.txt,33,The indifference of Juliet,Richmond,Grace S.,A_02899,,New York,"""Doubleday, Page & Co.""",1905,g,American,,,SENT
479,2680,00002680.txt,87,The perfume of Eros,Saltus,Edgar,A_03012,,New York,A. Wessels Co.,1905,g,American,,,SENT
482,2690,00002690.txt,39,Ten girls from Dickens,Sweetser,Kate Dickinson,A_03321,,New York,Harper & Bros.,1905,g,American,,,CTRL
483,2691,00002691.txt,527,The conquest of Canaan,Tarkington,Booth,A_03336,,New York/London,Harper & Bros.,1905,g,American,,c,NOVL
484,2692,00002692.txt,271,The beautiful lady,Tarkington,Booth,A_03336,,New York,"""McClure, Phillips & Co.""",1905,g,American,,c,PARG
487,2700,00002700.txt,41,Fisherman's luck and some other uncertain things,Van Dyke,Henry,A_03450,,New York,Grosset & Dunlap,1905,g,American,,,SENT
488,2703,00002703.txt,26,The rejuvenation of Aunt Mary,Warner,Anne,A_03519,,Boston,"""Little, Brown, & Co.""",1905,g,American,,,PARG
491,2712,00002712.txt,41,A good Samaritan,Andrews,Mary Raymond Shipman,A_00073,,New York,"""McClure, Philip & Co.""",1906,g,American,,,NOVL
496,2727,00002727.txt,100,Pigs is pigs,Butler,Ellis Parker,A_00500,,New York,A.L. Burt,1906,g,American,,,SENT
498,2733,00002733.txt,56,The tracer of lost persons,Chambers,Robert W.,A_00604,,New York,D. Appleton & Co.,1906,g,American,,,PARG
499,2734,00002734.txt,624,Coniston,Churchill,Winston,A_00649,,New York/London,Macmillan Co.,1906,g,American,,,NOVL
500,2738,00002738.txt,350,The awakening of Helena Richie,Deland,Margaret,A_00904,,New York/London,Harper & Bros.,1906,g,American,,,NOVL
501,2748,00002748.txt,162,Four American leaders,Eliot,Charles William,A_01066,,Boston,American Unitarian association,1906,g,American,,,CTRL
504,2753,00002753.txt,36,By the light of the soul,Freeman,Mary Eleanor Wilkins,A_01254,,New York/London,Harper & Bros.,1906,g,American,,c,CTRL
507,2761,00002761.txt,83,The woman in the alcove,Green,Anna Katharine,A_01444,,Indianapolis,Bobbs-Merrill Co.,1906,g,American,DET,c,PARG
508,2762,00002762.txt,69,The chief legatee,Green,Anna Katharine,A_01444,,New York/London,Authors & newspapers Association,1906,g,American,DET,c,CTRL
516,2787,00002787.txt,28,The way of the gods,Long,John Luther,A_02115,,New York/London,Macmillan Co.,1906,g,American,,,SENT
520,2792,00002792.txt,163,Jane Cable,McCutcheon,George Barr,A_02321,,New York,"""Dodd, Mead & Co.""",1906,g,American,,,SENT
521,2797,00002797.txt,197,The bishop of Cottontown,Moore,John Trotwood,A_02456,,Philadelphia,J.C. Winston Co.,1906,g,American,,,PARG
522,2801,00002801.txt,66,Bob Hampton of Placer,Parrish,Randall,A_02656,,Chicago,A.C. McClurg & Co.,1906,g,American,,,SENT
523,2804,00002804.txt,87,The fortune hunter,Phillips,David Graham,A_02731,,Indianapolis,Bobbs-Merrill Co.,1906,g,American,,,CTRL
534,2837,00002837.txt,401,Lady Baltimore,Wister,Owen,A_03681,,New York/London,Macmillan Co.,1906,g,American,,c,PARG
537,2842,00002842.txt,327,Ancestors,Atherton,Gertrude Franklin Horn,A_00099,,New York/London,Harper & Bros.,1907,g,American,,,SENT
539,2846,00002846.txt,110,A son of the gods : and: A horseman in the sky,Bierce,Ambrose,A_00280,,New York/San Francisco,Paul Elder & Co.aul Elder & Co.,1907,g,American,,c,SENT
542,2856,00002856.txt,103,The younger set,Chambers,Robert W.,A_00604,,New York,A.L. Burt Co.,1907,g,American,,,NOVL
546,2869,00002869.txt,108,The cruise of the Shining Light,Duncan,Norman,A_01014,,New York/London,Harper & Bros.,1907,g,American,,,SENT
548,2887,00002887.txt,88,The way of a man,Hough,Emerson,A_01701,,New York,Outing Publishing Co.,1907,g,American,,,NOVL
550,2889,00002889.txt,341,Between the dark and the daylight,Howells,William Dean,A_01716,,New York/London,Harper & Bros.,1907,g,American,,c,NOVL
554,2908,00002908.txt,129,The daughter of Anderson Crow,McCutcheon,George Barr,A_02321,,New York,"""Dodd, Mead & Co.""",1907,g,American,,,PARG
555,2913,00002913.txt,183,The port of missing men,Nicholson,Meredith,A_02554,,Indianapolis,"""Bobbs-Merrill Co. Press of Braunworth & Co., bookbinders & printers""",1907,g,American,,,SENT
556,2914,00002914.txt,117,Rosalind at Red Gate,Nicholson,Meredith,A_02554,,Indianapolis,Bobbs-Merrill Co.,1907,g,American,,,CTRL
560,2933,00002933.txt,206,At the foot of the rainbow,Stratton-Porter,Gene,A_03287,,New York,Grosset & Dunlap,1907,g,American,,,CTRL
562,2942,00002942.txt,69,The brass bowl,Vance,Louis Joseph,A_03463,,Indianapolis,Bobbs-Merrill Co.,1907,g,American,,,PARG
564,2945,00002945.txt,29,Ungava Bob,Wallace,Dillon,A_03492,,Chicago/New York,etc. F.H. Revell Co.,1907,g,American,,,PARG
567,2949,00002949.txt,472,Madame de Treymes,Wharton,Edith,A_03582,,New York,Charles Scribner's Sons,1907,g,American,,c,PARG
568,2955,00002955.txt,156,How doth the simple spelling bee,Wister,Owen,A_03681,,New York/London,Macmillan Co.,1907,g,American,,c,CTRL
