BOOK_ID,PUBL_DATE,SUBSET,P(INIT)_INIT,P(INIT)_FINAL
4503,1920,SENT,0,1
4505,1920,PARG,0,1
4520,1921,NOVL,1,1
4522,1921,SENT,0,1
4523,1921,PARG,0,1
4527,1921,SENT,0,1
4530,1921,SENT,0,1
4534,1921,SENT,0,1
4543,1921,NOVL,0,0
4579,1921,PARG,0,1
4596,1921,PARG,0,1
4598,1921,NOVL,0,0
4617,1921,NOVL,0,1
4633,1921,PARG,0,1
4639,1922,SENT,0,1
4642,1922,SENT,0,1
4656,1922,SENT,0,1
4665,1922,PARG,0,1
4666,1922,NOVL,1,1
4673,1922,PARG,0,1
4680,1922,NOVL,0,1
4711,1922,NOVL,1,1
4714,1922,PARG,0,1
4744,1922,SENT,0,1
4760,1922,NOVL,0,1
4813,1901,NOVL,0,0
4816,1902,PARG,0,1
4817,1902,NOVL,1,1
4818,1902,NOVL,0,1
4819,1903,NOVL,1,1
4824,1904,SENT,0,1
4829,1906,NOVL,1,0
4833,1907,NOVL,1,1
4837,1909,NOVL,0,0
4844,1911,NOVL,0,1
4848,1912,PARG,0,1
4852,1914,NOVL,1,1
4853,1914,PARG,0,1
4854,1914,PARG,0,1
4863,1917,SENT,0,1
4868,1919,NOVL,0,1
4869,1919,PARG,0,1
4872,1920,PARG,0,1
4877,1922,PARG,0,1
10013,1923,NOVL,0,0
10047,1927,NOVL,0,1
10080,1929,NOVL,0,1
10087,1931,NOVL,0,1
10140,1938,SENT,0,1
10209,1923,PARG,0,1
10211,1923,NOVL,1,1
10215,1924,NOVL,0,0
10218,1924,PARG,0,1
10220,1924,PARG,0,1
10221,1924,PARG,0,0
10223,1924,PARG,0,1
10228,1924,NOVL,0,0
10229,1924,SENT,0,1
10231,1924,NOVL,0,0
10233,1925,PARG,0,1
10239,1925,SENT,0,1
10241,1925,SENT,0,1
10244,1925,NOVL,1,1
10247,1925,SENT,0,1
10257,1926,NOVL,0,0
10258,1926,NOVL,0,0
10260,1926,PARG,0,1
10263,1926,NOVL,0,1
10266,1927,SENT,0,1
10268,1927,PARG,0,1
10274,1927,SENT,0,1
10281,1927,NOVL,0,1
10283,1928,PARG,0,1
10287,1928,NOVL,1,1
10288,1928,SENT,0,1
10294,1928,SENT,0,1
10298,1928,SENT,0,1
10305,1929,NOVL,0,1
10307,1929,PARG,0,1
10314,1929,NOVL,0,1
10325,1930,NOVL,1,1
10327,1930,SENT,0,1
10328,1930,SENT,0,1
10333,1930,NOVL,0,0
10335,1930,NOVL,1,1
10337,1930,PARG,0,1
10338,1930,PARG,0,1
10339,1930,PARG,0,1
10342,1931,SENT,0,1
10355,1931,PARG,0,1
10364,1931,NOVL,0,0
10366,1931,NOVL,0,1
10373,1932,PARG,0,1
10374,1932,NOVL,1,1
10375,1932,NOVL,0,0
10391,1932,SENT,0,1
10395,1933,PARG,0,1
10404,1933,PARG,0,1
10416,1933,NOVL,0,0
10420,1933,PARG,0,1
10421,1933,PARG,0,1
10424,1933,SENT,0,1
10425,1933,NOVL,1,1
10445,1934,PARG,0,1
10450,1934,PARG,0,1
10458,1934,SENT,0,1
10460,1934,PARG,0,1
10462,1934,NOVL,0,0
10463,1934,NOVL,0,0
10466,1935,NOVL,0,1
10467,1935,NOVL,0,0
10470,1935,PARG,0,1
10471,1935,SENT,0,1
10472,1935,SENT,0,1
10473,1935,PARG,0,1
10481,1935,NOVL,0,0
10500,1936,NOVL,0,0
10504,1936,SENT,0,1
10511,1936,PARG,0,1
10519,1937,PARG,0,1
10528,1937,SENT,0,1
10531,1937,PARG,0,0
10534,1937,NOVL,0,1
10535,1937,SENT,0,1
10539,1938,NOVL,0,1
10546,1938,SENT,0,1
10552,1938,NOVL,0,1
10554,1938,NOVL,1,1
10565,1938,PARG,0,1
10577,1939,NOVL,0,1
10580,1939,PARG,0,1
10590,1939,SENT,0,1
10591,1939,SENT,0,1
10594,1940,PARG,0,1
10599,1940,SENT,0,1
10602,1940,PARG,0,1
10603,1940,SENT,0,1
10612,1940,SENT,0,1
10615,1940,NOVL,0,1
10619,1940,SENT,0,1
10630,1941,NOVL,0,1
10636,1941,PARG,0,0
10643,1941,SENT,0,1
10647,1941,NOVL,0,0
10656,1942,NOVL,1,1
10657,1942,PARG,0,1
10659,1942,PARG,0,1
10663,1942,NOVL,0,1
10670,1942,NOVL,1,1
10679,1942,PARG,0,1
10689,1942,SENT,0,1
10692,1942,SENT,0,1
10695,1943,PARG,1,1
10703,1943,SENT,0,1
10706,1943,SENT,0,1
10709,1943,NOVL,1,1
10710,1943,SENT,0,1
10715,1943,NOVL,1,1
10720,1943,SENT,0,1
10724,1943,NOVL,0,1
10730,1943,PARG,1,1
10731,1944,SENT,0,1
10735,1944,SENT,0,1
10741,1944,NOVL,0,1
10744,1944,PARG,0,1
10751,1944,NOVL,0,1
10752,1944,NOVL,1,1
10754,1944,SENT,1,1
10765,1945,NOVL,0,0
10782,1945,SENT,0,1
10784,1945,PARG,0,1
10793,1945,SENT,0,1
10796,1945,NOVL,0,0
10798,1946,SENT,0,1
10809,1946,SENT,0,1
10818,1946,NOVL,1,1
10826,1946,NOVL,0,0
10845,1947,NOVL,0,0
10846,1947,PARG,0,1
10872,1947,PARG,0,1
10874,1947,SENT,0,1
10876,1947,SENT,0,1
10883,1948,SENT,0,1
10886,1948,SENT,0,1
10903,1948,NOVL,0,1
10906,1948,SENT,0,1
10908,1948,SENT,0,1
10928,1949,NOVL,0,1
10931,1949,PARG,0,1
10938,1949,SENT,1,1
10952,1949,PARG,0,1
10953,1949,NOVL,0,1
10954,1949,PARG,0,1
10958,1949,PARG,0,1
10966,1949,SENT,0,1
10969,1950,SENT,0,1
10972,1950,SENT,0,1
10973,1950,PARG,0,1
10975,1950,NOVL,0,1
10978,1950,NOVL,1,1
10983,1950,PARG,0,1
11003,1950,PARG,0,1
11016,1923,SENT,0,1
11017,1923,SENT,0,1
11020,1924,SENT,0,1
11023,1925,PARG,0,1
11025,1926,NOVL,1,0
11030,1927,NOVL,1,1
11038,1930,NOVL,0,1
11042,1931,PARG,1,1
11046,1933,SENT,0,1
11053,1935,PARG,0,1
11056,1936,NOVL,1,1
11058,1937,PARG,0,1
11070,1941,PARG,0,1
11079,1944,PARG,0,1
11082,1945,SENT,0,1
11084,1945,PARG,0,1
11085,1946,PARG,0,1
11089,1947,NOVL,1,1
11090,1947,PARG,0,1
11091,1948,NOVL,1,1
11093,1948,PARG,0,1
11096,1949,SENT,0,1
11099,1950,SENT,0,1
11101,1940,NOVL,0,0
11102,1942,SENT,0,1
11104,1923,SENT,0,1
11105,1923,SENT,0,1
11106,1923,NOVL,0,0
11108,1923,PARG,0,1
11111,1923,NOVL,0,0
11115,1923,PARG,0,1
11118,1923,PARG,0,1
11125,1924,NOVL,1,1
11136,1924,SENT,0,1
11139,1924,SENT,0,1
11145,1925,NOVL,1,1
11146,1925,PARG,0,1
11149,1925,NOVL,1,1
11150,1925,SENT,0,1
11157,1925,PARG,0,1
11159,1925,NOVL,0,1
11164,1926,PARG,0,1
11168,1926,SENT,0,1
11174,1926,SENT,0,1
11175,1926,PARG,0,1
11176,1926,SENT,0,1
11181,1926,PARG,0,1
11186,1926,SENT,0,1
11196,1927,PARG,0,1
11200,1927,NOVL,1,1
11201,1927,SENT,0,1
11204,1927,SENT,0,1
11206,1927,PARG,0,1
11211,1927,PARG,0,1
11217,1928,NOVL,0,1
11219,1928,PARG,0,1
11225,1928,PARG,0,1
11234,1928,NOVL,1,1
11236,1928,NOVL,0,0
11239,1928,PARG,0,1
11241,1928,SENT,0,1
11245,1929,PARG,0,1
11251,1929,SENT,0,1
11253,1929,SENT,0,1
11259,1929,SENT,0,1
11261,1929,PARG,0,1
11266,1929,PARG,0,1
11270,1929,SENT,0,1
11274,1929,NOVL,0,0
11284,1930,SENT,0,1
11303,1930,SENT,0,1
11312,1930,PARG,0,1
11314,1931,NOVL,0,0
11318,1931,SENT,0,1
11319,1931,PARG,0,1
11324,1931,PARG,0,1
11334,1931,SENT,0,1
11340,1931,SENT,0,1
11354,1932,SENT,0,1
11358,1932,SENT,1,1
11360,1932,PARG,0,1
11365,1932,PARG,0,1
11366,1932,PARG,0,1
11370,1932,NOVL,0,0
11374,1932,NOVL,1,1
11385,1932,SENT,0,1
11395,1933,SENT,0,1
11407,1933,NOVL,0,0
11418,1933,NOVL,0,1
11419,1933,SENT,0,1
11421,1934,NOVL,0,0
11433,1934,SENT,0,1
11434,1934,SENT,0,1
11442,1934,SENT,0,1
11450,1934,NOVL,0,1
11452,1934,PARG,0,1
11459,1935,NOVL,0,0
11469,1935,SENT,0,1
11473,1935,PARG,0,1
11475,1935,SENT,0,1
11485,1936,PARG,0,1
11494,1936,NOVL,0,0
11500,1936,PARG,0,1
11501,1936,NOVL,0,1
11503,1936,SENT,0,1
11516,1936,SENT,0,1
11517,1936,PARG,0,1
11518,1936,SENT,0,1
11530,1937,NOVL,0,1
11536,1937,PARG,0,1
11540,1937,NOVL,0,1
11544,1937,SENT,0,1
11545,1937,NOVL,0,1
11550,1937,SENT,0,1
11556,1938,SENT,0,1
11564,1938,PARG,0,1
11566,1938,PARG,0,1
11581,1938,NOVL,0,0
11582,1938,SENT,0,1
11588,1938,PARG,0,1
11594,1939,NOVL,0,1
11599,1939,NOVL,1,1
11604,1939,SENT,0,1
11605,1939,NOVL,0,1
11611,1939,PARG,0,1
11623,1939,PARG,0,0
11629,1939,PARG,0,1
11633,1939,SENT,0,1
11638,1940,NOVL,0,0
11644,1940,PARG,0,1
11651,1940,NOVL,0,1
11666,1940,PARG,0,1
11671,1941,PARG,1,1
11672,1941,SENT,0,1
11674,1941,NOVL,0,0
11676,1941,SENT,0,1
11691,1941,SENT,0,1
11692,1941,NOVL,0,1
11694,1941,PARG,0,1
11704,1942,PARG,0,1
11706,1942,SENT,0,1
11713,1942,NOVL,0,1
11729,1943,NOVL,0,0
11731,1943,PARG,0,1
11732,1943,PARG,0,1
11739,1944,PARG,0,1
11740,1944,PARG,0,1
11744,1944,NOVL,1,1
11759,1944,SENT,0,1
11762,1945,SENT,0,1
11763,1945,PARG,0,1
11765,1945,PARG,0,1
11777,1945,NOVL,1,1
11784,1945,NOVL,1,1
11794,1946,PARG,0,1
11795,1946,NOVL,1,1
11801,1946,PARG,0,1
11802,1946,NOVL,1,1
11803,1946,PARG,1,1
11806,1946,SENT,0,1
11816,1946,SENT,0,1
11822,1947,PARG,0,1
11833,1947,SENT,0,1
11842,1947,SENT,0,1
11846,1947,NOVL,0,0
11847,1947,NOVL,1,1
11857,1948,PARG,1,1
11861,1948,PARG,0,1
11867,1948,NOVL,1,1
11870,1948,NOVL,0,0
11873,1948,PARG,0,1
11883,1949,NOVL,0,1
11885,1949,SENT,0,1
11889,1949,NOVL,0,0
11907,1950,PARG,0,1
11921,1950,NOVL,1,0
11924,1950,NOVL,0,0
11931,1950,SENT,0,1
20003,1951,NOVL,1,1
20006,1951,NOVL,0,0
20008,1951,PARG,0,1
20015,1951,PARG,0,1
20021,1951,SENT,0,1
20022,1951,NOVL,1,1
20024,1951,PARG,0,1
20026,1951,SENT,0,1
20029,1951,PARG,0,1
20043,1952,PARG,0,1
20046,1952,SENT,0,1
20050,1952,SENT,0,1
20052,1952,PARG,0,1
20060,1952,SENT,0,1
20063,1952,NOVL,1,1
20066,1952,NOVL,0,1
20076,1952,SENT,0,1
20077,1952,NOVL,0,1
20078,1952,NOVL,0,1
20085,1953,PARG,0,1
20089,1953,NOVL,0,1
20091,1953,PARG,0,1
20101,1953,SENT,0,1
20102,1953,SENT,0,1
20103,1953,NOVL,0,0
20104,1953,NOVL,1,1
20115,1953,SENT,0,1
20120,1953,SENT,0,1
20123,1953,NOVL,0,0
20125,1953,PARG,0,1
20132,1954,PARG,0,1
20134,1954,SENT,0,1
20135,1954,NOVL,0,1
20143,1954,NOVL,0,1
20147,1954,NOVL,0,0
20155,1954,SENT,0,1
